[ 2012-12-06T18:02:24+08:00 ] /Thinkphp/test.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000570s ]
[ 2012-12-06T18:02:28+08:00 ] /Thinkphp/test.php | INFO: Tag[ app_begin ] --START--
[ 2012-12-06T18:02:28+08:00 ] /Thinkphp/test.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000539s ]
[ 2012-12-06T18:02:28+08:00 ] /Thinkphp/test.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000632s ]
[ 2012-12-06T18:02:28+08:00 ] /Thinkphp/test.php | INFO: Tag[ app_begin ] --START--
[ 2012-12-06T18:02:28+08:00 ] /Thinkphp/test.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000472s ]
[ 2012-12-06T18:02:28+08:00 ] /Thinkphp/test.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000561s ]
[ 2012-12-06T18:02:34+08:00 ] /Thinkphp/test.php | INFO: Tag[ app_begin ] --START--
[ 2012-12-06T18:02:34+08:00 ] /Thinkphp/test.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000717s ]
[ 2012-12-06T18:02:34+08:00 ] /Thinkphp/test.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000805s ]
[ 2012-12-06T19:02:36+08:00 ] /Thinkphp/ | INFO: Tag[ app_begin ] --START--
[ 2012-12-06T19:02:36+08:00 ] /Thinkphp/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000748s ]
[ 2012-12-06T19:02:36+08:00 ] /Thinkphp/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000860s ]
[ 2012-12-06T19:04:45+08:00 ] /Thinkphp/Index/add | INFO: Tag[ route_check ] --START--
[ 2012-12-06T19:04:45+08:00 ] /Thinkphp/Index/add | INFO: Run CheckRoute Behavior [ RunTime:0.000866s ]
[ 2012-12-06T19:04:45+08:00 ] /Thinkphp/Index/add | INFO: Tag[ route_check ] --END-- [ RunTime:0.000965s ]
[ 2012-12-06T19:04:45+08:00 ] /Thinkphp/Index/add | INFO: Tag[ app_begin ] --START--
[ 2012-12-06T19:04:45+08:00 ] /Thinkphp/Index/add | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000569s ]
[ 2012-12-06T19:04:45+08:00 ] /Thinkphp/Index/add | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000637s ]
[ 2012-12-06T19:05:32+08:00 ] /Thinkphp/Index/add | INFO: Tag[ route_check ] --START--
[ 2012-12-06T19:05:32+08:00 ] /Thinkphp/Index/add | INFO: Run CheckRoute Behavior [ RunTime:0.000859s ]
[ 2012-12-06T19:05:32+08:00 ] /Thinkphp/Index/add | INFO: Tag[ route_check ] --END-- [ RunTime:0.000955s ]
[ 2012-12-06T19:05:32+08:00 ] /Thinkphp/Index/add | INFO: Tag[ app_begin ] --START--
