[ 2013-04-15T09:55:26+08:00 ] /jiasp2/ | INFO: Tag[ app_begin ] --START--
[ 2013-04-15T09:55:26+08:00 ] /jiasp2/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001001s ]
[ 2013-04-15T09:55:26+08:00 ] /jiasp2/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001099s ]
[ 2013-04-15T09:55:26+08:00 ] /jiasp2/ | INFO: Tag[ view_template ] --START--
[ 2013-04-15T09:55:26+08:00 ] /jiasp2/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001458s ]
[ 2013-04-15T09:55:26+08:00 ] /jiasp2/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001549s ]
[ 2013-04-15T09:55:26+08:00 ] /jiasp2/ | INFO: Tag[ view_parse ] --START--
[ 2013-04-15T09:55:26+08:00 ] /jiasp2/ | INFO: Run ParseTemplate Behavior [ RunTime:0.008637s ]
[ 2013-04-15T09:55:26+08:00 ] /jiasp2/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.008727s ]
[ 2013-04-15T09:55:26+08:00 ] /jiasp2/ | INFO: Tag[ view_filter ] --START--
[ 2013-04-15T09:55:26+08:00 ] /jiasp2/ | INFO: Run ContentReplace Behavior [ RunTime:0.000855s ]
[ 2013-04-15T09:55:26+08:00 ] /jiasp2/ | INFO: Run TokenBuild Behavior [ RunTime:0.000893s ]
[ 2013-04-15T09:55:26+08:00 ] /jiasp2/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000756s ]
[ 2013-04-15T09:55:26+08:00 ] /jiasp2/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000898s ]
[ 2013-04-15T09:55:26+08:00 ] /jiasp2/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003613s ]
[ 2013-04-15T09:55:26+08:00 ] /jiasp2/ | INFO: Tag[ view_template ] --START--
[ 2013-04-15T09:55:26+08:00 ] /jiasp2/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000663s ]
[ 2013-04-15T09:55:26+08:00 ] /jiasp2/ | INFO: Tag[ view_template ] --END-- [ RunTime:-0.012567s ]
