[ 2013-04-14T08:47:43+08:00 ] /jiasp2/ | INFO: Tag[ app_begin ] --START--
[ 2013-04-14T08:47:43+08:00 ] /jiasp2/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001223s ]
[ 2013-04-14T08:47:43+08:00 ] /jiasp2/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001397s ]
[ 2013-04-14T08:47:43+08:00 ] /jiasp2/ | INFO: Tag[ view_template ] --START--
[ 2013-04-14T08:47:43+08:00 ] /jiasp2/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000873s ]
[ 2013-04-14T08:47:43+08:00 ] /jiasp2/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000972s ]
[ 2013-04-14T08:47:43+08:00 ] /jiasp2/ | INFO: Tag[ view_parse ] --START--
[ 2013-04-14T08:47:43+08:00 ] /jiasp2/ | INFO: Run ParseTemplate Behavior [ RunTime:0.006566s ]
[ 2013-04-14T08:47:43+08:00 ] /jiasp2/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.006649s ]
[ 2013-04-14T08:47:43+08:00 ] /jiasp2/ | INFO: Tag[ view_filter ] --START--
[ 2013-04-14T08:47:43+08:00 ] /jiasp2/ | INFO: Run ContentReplace Behavior [ RunTime:0.000426s ]
[ 2013-04-14T08:47:43+08:00 ] /jiasp2/ | INFO: Run TokenBuild Behavior [ RunTime:0.000488s ]
[ 2013-04-14T08:47:43+08:00 ] /jiasp2/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000303s ]
[ 2013-04-14T08:47:43+08:00 ] /jiasp2/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000614s ]
[ 2013-04-14T08:47:43+08:00 ] /jiasp2/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002031s ]
[ 2013-04-14T08:47:43+08:00 ] /jiasp2/ | INFO: Tag[ view_template ] --START--
[ 2013-04-14T08:47:43+08:00 ] /jiasp2/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000293s ]
[ 2013-04-14T08:47:43+08:00 ] /jiasp2/ | INFO: Tag[ view_template ] --END-- [ RunTime:-0.008883s ]
[ 2013-04-14T08:47:43+08:00 ] /jiasp2/ | INFO: Tag[ view_parse ] --START--
[ 2013-04-14T08:47:43+08:00 ] /jiasp2/ | INFO: Run ParseTemplate Behavior [ RunTime:0.002354s ]
[ 2013-04-14T08:47:43+08:00 ] /jiasp2/ | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.002609s ]
[ 2013-04-14T08:47:43+08:00 ] /jiasp2/ | INFO: Tag[ view_filter ] --START--
[ 2013-04-14T08:47:43+08:00 ] /jiasp2/ | INFO: Run ContentReplace Behavior [ RunTime:0.000100s ]
[ 2013-04-14T08:47:43+08:00 ] /jiasp2/ | INFO: Run TokenBuild Behavior [ RunTime:0.000095s ]
[ 2013-04-14T08:47:43+08:00 ] /jiasp2/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000018s ]
[ 2013-04-14T08:47:43+08:00 ] /jiasp2/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000131s ]
[ 2013-04-14T08:47:43+08:00 ] /jiasp2/ | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.003012s ]
[ 2013-04-14T08:47:43+08:00 ] /jiasp2/ | INFO: Tag[ view_template ] --START--
[ 2013-04-14T08:47:43+08:00 ] /jiasp2/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000203s ]
[ 2013-04-14T08:47:43+08:00 ] /jiasp2/ | INFO: Tag[ view_template ] --END-- [ RunTime:-0.012425s ]
[ 2013-04-14T08:47:43+08:00 ] /jiasp2/ | INFO: Tag[ view_parse ] --START--
[ 2013-04-14T08:47:43+08:00 ] /jiasp2/ | INFO: Run ParseTemplate Behavior [ RunTime:0.004368s ]
[ 2013-04-14T08:47:43+08:00 ] /jiasp2/ | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.006046s ]
[ 2013-04-14T08:47:43+08:00 ] /jiasp2/ | INFO: Tag[ view_filter ] --START--
[ 2013-04-14T08:47:43+08:00 ] /jiasp2/ | INFO: Run ContentReplace Behavior [ RunTime:0.000171s ]
[ 2013-04-14T08:47:43+08:00 ] /jiasp2/ | INFO: Run TokenBuild Behavior [ RunTime:0.000164s ]
[ 2013-04-14T08:47:43+08:00 ] /jiasp2/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000018s ]
[ 2013-04-14T08:47:43+08:00 ] /jiasp2/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000140s ]
[ 2013-04-14T08:47:43+08:00 ] /jiasp2/ | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.008472s ]
[ 2013-04-14T08:47:43+08:00 ] /jiasp2/ | INFO: Tag[ view_end ] --START--
[ 2013-04-14T08:47:43+08:00 ] /jiasp2/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000731s ]
[ 2013-04-14T08:47:43+08:00 ] /jiasp2/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000847s ]
[ 2013-04-14T08:47:43+08:00 ] /jiasp2/Public/pic/visitor_textBg.png | ERR: (ThinkException) 无法加载模块Public
[ 2013-04-14T08:56:10+08:00 ] /jiasp2/Expert | INFO: Tag[ route_check ] --START--
[ 2013-04-14T08:56:10+08:00 ] /jiasp2/Expert | INFO: Run CheckRoute Behavior [ RunTime:0.001507s ]
[ 2013-04-14T08:56:10+08:00 ] /jiasp2/Expert | INFO: Tag[ route_check ] --END-- [ RunTime:0.001669s ]
[ 2013-04-14T08:56:10+08:00 ] /jiasp2/Expert | INFO: Tag[ app_begin ] --START--
[ 2013-04-14T08:56:10+08:00 ] /jiasp2/Expert | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000952s ]
[ 2013-04-14T08:56:10+08:00 ] /jiasp2/Expert | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001067s ]
[ 2013-04-14T08:56:10+08:00 ] /jiasp2/Expert | INFO: Tag[ view_template ] --START--
[ 2013-04-14T08:56:10+08:00 ] /jiasp2/Expert | INFO: Run LocationTemplate Behavior [ RunTime:0.001284s ]
[ 2013-04-14T08:56:10+08:00 ] /jiasp2/Expert | INFO: Tag[ view_template ] --END-- [ RunTime:0.001418s ]
[ 2013-04-14T08:56:10+08:00 ] /jiasp2/Expert | INFO: Tag[ view_parse ] --START--
[ 2013-04-14T08:56:10+08:00 ] /jiasp2/Expert | INFO: Run ParseTemplate Behavior [ RunTime:0.010905s ]
[ 2013-04-14T08:56:10+08:00 ] /jiasp2/Expert | INFO: Tag[ view_parse ] --END-- [ RunTime:0.011038s ]
[ 2013-04-14T08:56:10+08:00 ] /jiasp2/Expert | INFO: Tag[ view_filter ] --START--
[ 2013-04-14T08:56:10+08:00 ] /jiasp2/Expert | INFO: Run ContentReplace Behavior [ RunTime:0.000812s ]
[ 2013-04-14T08:56:10+08:00 ] /jiasp2/Expert | INFO: Run TokenBuild Behavior [ RunTime:0.000826s ]
[ 2013-04-14T08:56:10+08:00 ] /jiasp2/Expert | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000521s ]
[ 2013-04-14T08:56:10+08:00 ] /jiasp2/Expert | INFO: Run ShowRuntime Behavior [ RunTime:0.000879s ]
[ 2013-04-14T08:56:10+08:00 ] /jiasp2/Expert | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003359s ]
[ 2013-04-14T08:56:10+08:00 ] /jiasp2/Expert | INFO: Tag[ view_template ] --START--
[ 2013-04-14T08:56:10+08:00 ] /jiasp2/Expert | INFO: Run LocationTemplate Behavior [ RunTime:0.000355s ]
[ 2013-04-14T08:56:10+08:00 ] /jiasp2/Expert | INFO: Tag[ view_template ] --END-- [ RunTime:-0.014783s ]
[ 2013-04-14T08:56:10+08:00 ] /jiasp2/Expert | INFO: Tag[ view_parse ] --START--
[ 2013-04-14T08:56:10+08:00 ] /jiasp2/Expert | NOTIC: [8] Undefined variable: foot 7fe8aa8c2147ba4056c8c2c8362e6b6b.php 第 206 行.
[ 2013-04-14T08:56:10+08:00 ] /jiasp2/Expert | INFO: Run ParseTemplate Behavior [ RunTime:0.008417s ]
[ 2013-04-14T08:56:10+08:00 ] /jiasp2/Expert | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.004214s ]
[ 2013-04-14T08:56:10+08:00 ] /jiasp2/Expert | INFO: Tag[ view_filter ] --START--
[ 2013-04-14T08:56:10+08:00 ] /jiasp2/Expert | INFO: Run ContentReplace Behavior [ RunTime:0.000249s ]
[ 2013-04-14T08:56:10+08:00 ] /jiasp2/Expert | INFO: Run TokenBuild Behavior [ RunTime:0.000292s ]
[ 2013-04-14T08:56:10+08:00 ] /jiasp2/Expert | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000032s ]
[ 2013-04-14T08:56:10+08:00 ] /jiasp2/Expert | INFO: Run ShowRuntime Behavior [ RunTime:0.000243s ]
[ 2013-04-14T08:56:10+08:00 ] /jiasp2/Expert | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.009388s ]
[ 2013-04-14T08:56:10+08:00 ] /jiasp2/Expert | INFO: Tag[ view_end ] --START--
[ 2013-04-14T08:56:10+08:00 ] /jiasp2/Expert | INFO: Run ShowPageTrace Behavior [ RunTime:0.002985s ]
[ 2013-04-14T08:56:10+08:00 ] /jiasp2/Expert | INFO: Tag[ view_end ] --END-- [ RunTime:0.003138s ]
[ 2013-04-14T08:57:29+08:00 ] /jiasp2/Expert | INFO: Tag[ route_check ] --START--
[ 2013-04-14T08:57:29+08:00 ] /jiasp2/Expert | INFO: Run CheckRoute Behavior [ RunTime:0.001402s ]
