[ 2013-04-29T12:21:54+08:00 ] /jiasp2/ | INFO: Tag[ app_begin ] --START--
[ 2013-04-29T12:21:54+08:00 ] /jiasp2/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001036s ]
[ 2013-04-29T12:21:54+08:00 ] /jiasp2/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001143s ]
[ 2013-04-29T12:21:54+08:00 ] /jiasp2/ | INFO: Tag[ view_template ] --START--
[ 2013-04-29T12:21:54+08:00 ] /jiasp2/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001443s ]
[ 2013-04-29T12:21:54+08:00 ] /jiasp2/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001532s ]
[ 2013-04-29T12:21:54+08:00 ] /jiasp2/ | INFO: Tag[ view_parse ] --START--
[ 2013-04-29T12:21:54+08:00 ] /jiasp2/ | INFO: Run ParseTemplate Behavior [ RunTime:0.016346s ]
[ 2013-04-29T12:21:54+08:00 ] /jiasp2/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.016436s ]
[ 2013-04-29T12:21:54+08:00 ] /jiasp2/ | INFO: Tag[ view_filter ] --START--
[ 2013-04-29T12:21:54+08:00 ] /jiasp2/ | INFO: Run ContentReplace Behavior [ RunTime:0.000871s ]
[ 2013-04-29T12:21:54+08:00 ] /jiasp2/ | INFO: Run TokenBuild Behavior [ RunTime:0.000806s ]
[ 2013-04-29T12:21:54+08:00 ] /jiasp2/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000619s ]
[ 2013-04-29T12:21:54+08:00 ] /jiasp2/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000789s ]
[ 2013-04-29T12:21:54+08:00 ] /jiasp2/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003282s ]
[ 2013-04-29T12:21:54+08:00 ] /jiasp2/ | INFO: Tag[ view_template ] --START--
[ 2013-04-29T12:21:54+08:00 ] /jiasp2/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000644s ]
[ 2013-04-29T12:21:54+08:00 ] /jiasp2/ | INFO: Tag[ view_template ] --END-- [ RunTime:-0.019926s ]
[ 2013-04-29T12:21:54+08:00 ] /jiasp2/ | INFO: Tag[ view_parse ] --START--
[ 2013-04-29T12:21:54+08:00 ] /jiasp2/ | INFO: Run ParseTemplate Behavior [ RunTime:0.015288s ]
