[ 2013-04-27T00:46:32+08:00 ] /jiasp2/ | INFO: Tag[ app_begin ] --START--
[ 2013-04-27T00:46:32+08:00 ] /jiasp2/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001281s ]
[ 2013-04-27T00:46:32+08:00 ] /jiasp2/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001418s ]
[ 2013-04-27T00:46:32+08:00 ] /jiasp2/ | INFO: Tag[ view_template ] --START--
[ 2013-04-27T00:46:32+08:00 ] /jiasp2/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001652s ]
[ 2013-04-27T00:46:32+08:00 ] /jiasp2/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001757s ]
[ 2013-04-27T00:46:32+08:00 ] /jiasp2/ | INFO: Tag[ view_parse ] --START--
[ 2013-04-27T00:46:32+08:00 ] /jiasp2/ | INFO: Run ParseTemplate Behavior [ RunTime:0.017483s ]
[ 2013-04-27T00:46:32+08:00 ] /jiasp2/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.017585s ]
[ 2013-04-27T00:46:32+08:00 ] /jiasp2/ | INFO: Tag[ view_filter ] --START--
[ 2013-04-27T00:46:32+08:00 ] /jiasp2/ | INFO: Run ContentReplace Behavior [ RunTime:0.000815s ]
[ 2013-04-27T00:46:32+08:00 ] /jiasp2/ | INFO: Run TokenBuild Behavior [ RunTime:0.000896s ]
[ 2013-04-27T00:46:32+08:00 ] /jiasp2/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000756s ]
[ 2013-04-27T00:46:32+08:00 ] /jiasp2/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000879s ]
[ 2013-04-27T00:46:32+08:00 ] /jiasp2/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003593s ]
[ 2013-04-27T00:46:32+08:00 ] /jiasp2/ | INFO: Tag[ view_template ] --START--
[ 2013-04-27T00:46:32+08:00 ] /jiasp2/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000635s ]
[ 2013-04-27T00:46:32+08:00 ] /jiasp2/ | INFO: Tag[ view_template ] --END-- [ RunTime:-0.021522s ]
[ 2013-04-27T00:46:32+08:00 ] /jiasp2/ | INFO: Tag[ view_parse ] --START--
[ 2013-04-27T00:46:32+08:00 ] /jiasp2/ | INFO: Run ParseTemplate Behavior [ RunTime:0.002928s ]
[ 2013-04-27T00:46:32+08:00 ] /jiasp2/ | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.004541s ]
[ 2013-04-27T00:46:32+08:00 ] /jiasp2/ | INFO: Tag[ view_filter ] --START--
[ 2013-04-27T00:46:32+08:00 ] /jiasp2/ | INFO: Run ContentReplace Behavior [ RunTime:0.000109s ]
[ 2013-04-27T00:46:32+08:00 ] /jiasp2/ | INFO: Run TokenBuild Behavior [ RunTime:0.000100s ]
[ 2013-04-27T00:46:32+08:00 ] /jiasp2/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000019s ]
[ 2013-04-27T00:46:32+08:00 ] /jiasp2/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000134s ]
[ 2013-04-27T00:46:32+08:00 ] /jiasp2/ | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.003930s ]
[ 2013-04-27T00:46:32+08:00 ] /jiasp2/ | INFO: Tag[ view_template ] --START--
[ 2013-04-27T00:46:32+08:00 ] /jiasp2/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000441s ]
[ 2013-04-27T00:46:32+08:00 ] /jiasp2/ | INFO: Tag[ view_template ] --END-- [ RunTime:-0.026039s ]
[ 2013-04-27T00:46:32+08:00 ] /jiasp2/ | INFO: Tag[ view_parse ] --START--
[ 2013-04-27T00:46:32+08:00 ] /jiasp2/ | NOTIC: [8] Undefined variable: user_name e5b19ddd3d471b21bbda02c5e4185b4b.php 第 78 行.
[ 2013-04-27T00:46:32+08:00 ] /jiasp2/ | INFO: Run ParseTemplate Behavior [ RunTime:0.004874s ]
[ 2013-04-27T00:46:32+08:00 ] /jiasp2/ | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.008856s ]
[ 2013-04-27T00:46:32+08:00 ] /jiasp2/ | INFO: Tag[ view_filter ] --START--
[ 2013-04-27T00:46:32+08:00 ] /jiasp2/ | INFO: Run ContentReplace Behavior [ RunTime:0.000230s ]
[ 2013-04-27T00:46:32+08:00 ] /jiasp2/ | INFO: Run TokenBuild Behavior [ RunTime:0.000236s ]
[ 2013-04-27T00:46:32+08:00 ] /jiasp2/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000019s ]
[ 2013-04-27T00:46:32+08:00 ] /jiasp2/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000154s ]
[ 2013-04-27T00:46:32+08:00 ] /jiasp2/ | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.010178s ]
[ 2013-04-27T00:46:32+08:00 ] /jiasp2/ | INFO: Tag[ view_end ] --START--
[ 2013-04-27T00:46:32+08:00 ] /jiasp2/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.001033s ]
[ 2013-04-27T00:46:32+08:00 ] /jiasp2/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.001119s ]
[ 2013-04-27T00:48:52+08:00 ] /jiasp2/Expert | INFO: Tag[ route_check ] --START--
[ 2013-04-27T00:48:52+08:00 ] /jiasp2/Expert | INFO: Run CheckRoute Behavior [ RunTime:0.001246s ]
[ 2013-04-27T00:48:52+08:00 ] /jiasp2/Expert | INFO: Tag[ route_check ] --END-- [ RunTime:0.001341s ]
[ 2013-04-27T00:48:52+08:00 ] /jiasp2/Expert | INFO: Tag[ app_begin ] --START--
[ 2013-04-27T00:48:52+08:00 ] /jiasp2/Expert | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000941s ]
[ 2013-04-27T00:48:52+08:00 ] /jiasp2/Expert | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001010s ]
[ 2013-04-27T00:48:52+08:00 ] /jiasp2/Expert | INFO: Tag[ view_template ] --START--
[ 2013-04-27T00:48:52+08:00 ] /jiasp2/Expert | INFO: Run LocationTemplate Behavior [ RunTime:0.002317s ]
[ 2013-04-27T00:48:52+08:00 ] /jiasp2/Expert | INFO: Tag[ view_template ] --END-- [ RunTime:0.002403s ]
[ 2013-04-27T00:48:52+08:00 ] /jiasp2/Expert | INFO: Tag[ view_parse ] --START--
[ 2013-04-27T00:48:52+08:00 ] /jiasp2/Expert | INFO: Run ParseTemplate Behavior [ RunTime:0.013507s ]
[ 2013-04-27T00:48:52+08:00 ] /jiasp2/Expert | INFO: Tag[ view_parse ] --END-- [ RunTime:0.013601s ]
[ 2013-04-27T00:48:52+08:00 ] /jiasp2/Expert | INFO: Tag[ view_filter ] --START--
[ 2013-04-27T00:48:52+08:00 ] /jiasp2/Expert | INFO: Run ContentReplace Behavior [ RunTime:0.000868s ]
[ 2013-04-27T00:48:52+08:00 ] /jiasp2/Expert | INFO: Run TokenBuild Behavior [ RunTime:0.000856s ]
[ 2013-04-27T00:48:52+08:00 ] /jiasp2/Expert | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000623s ]
[ 2013-04-27T00:48:52+08:00 ] /jiasp2/Expert | INFO: Run ShowRuntime Behavior [ RunTime:0.001080s ]
[ 2013-04-27T00:48:52+08:00 ] /jiasp2/Expert | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003637s ]
[ 2013-04-27T00:48:52+08:00 ] /jiasp2/Expert | INFO: Tag[ view_template ] --START--
[ 2013-04-27T00:48:52+08:00 ] /jiasp2/Expert | INFO: Run LocationTemplate Behavior [ RunTime:0.000745s ]
[ 2013-04-27T00:48:52+08:00 ] /jiasp2/Expert | INFO: Tag[ view_template ] --END-- [ RunTime:-0.017483s ]
[ 2013-04-27T00:48:52+08:00 ] /jiasp2/Expert | INFO: Tag[ view_parse ] --START--
[ 2013-04-27T00:48:52+08:00 ] /jiasp2/Expert | INFO: Run ParseTemplate Behavior [ RunTime:0.003951s ]
[ 2013-04-27T00:48:52+08:00 ] /jiasp2/Expert | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.004674s ]
[ 2013-04-27T00:48:52+08:00 ] /jiasp2/Expert | INFO: Tag[ view_filter ] --START--
[ 2013-04-27T00:48:52+08:00 ] /jiasp2/Expert | INFO: Run ContentReplace Behavior [ RunTime:0.000122s ]
