[ 2013-04-09T14:12:56+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_end ] --START--
[ 2013-04-09T14:12:56+08:00 ] /jiasp2/index.php/Index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001099s ]
[ 2013-04-09T14:12:56+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001184s ]
[ 2013-04-09T14:33:31+08:00 ] /jiasp2/APP/Tpl/Index/__PUBLIC__/CSS/3.css | ERR: (ThinkException) 无法加载模块APP
[ 2013-04-09T14:33:31+08:00 ] /jiasp2/APP/Tpl/Index/__PUBLIC__/CSS/2.css | ERR: (ThinkException) 无法加载模块APP
[ 2013-04-09T14:33:31+08:00 ] /jiasp2/APP/Tpl/Index/__PUBLIC__/CSS/1.css | ERR: (ThinkException) 无法加载模块APP
[ 2013-04-09T14:33:32+08:00 ] /jiasp2/APP/Tpl/Index/__PUBLIC__/pic/spacer.gif?v=1589 | ERR: (ThinkException) 无法加载模块APP
[ 2013-04-09T14:33:32+08:00 ] /jiasp2/APP/Tpl/Index/__PUBLIC__/pic/print_logo.png?v=1589 | ERR: (ThinkException) 无法加载模块APP
[ 2013-04-09T14:33:32+08:00 ] /jiasp2/APP/Tpl/Index/__PUBLIC__/pic/sina.png | ERR: (ThinkException) 无法加载模块APP
[ 2013-04-09T14:33:33+08:00 ] /jiasp2/APP/Tpl/Index/__PUBLIC__/simgs/modern-patio.jpg | ERR: (ThinkException) 无法加载模块APP
[ 2013-04-09T14:33:55+08:00 ] /jiasp2/APP/Tpl/Index/__PUBLIC__/pic/spacer.gif?v=1589 | ERR: (ThinkException) 无法加载模块APP
[ 2013-04-09T14:33:55+08:00 ] /jiasp2/APP/Tpl/Index/__PUBLIC__/simgs/contemporary-living-room.jpg | ERR: (ThinkException) 无法加载模块APP
[ 2013-04-09T14:36:55+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ route_check ] --START--
[ 2013-04-09T14:36:55+08:00 ] /jiasp2/index.php/Index | INFO: Run CheckRoute Behavior [ RunTime:0.000931s ]
[ 2013-04-09T14:36:55+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001029s ]
[ 2013-04-09T14:36:55+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ app_begin ] --START--
[ 2013-04-09T14:36:55+08:00 ] /jiasp2/index.php/Index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000589s ]
[ 2013-04-09T14:36:55+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000658s ]
[ 2013-04-09T14:36:55+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_template ] --START--
[ 2013-04-09T14:36:55+08:00 ] /jiasp2/index.php/Index | INFO: Run LocationTemplate Behavior [ RunTime:0.001552s ]
[ 2013-04-09T14:36:55+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001634s ]
[ 2013-04-09T14:36:55+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_parse ] --START--
[ 2013-04-09T14:36:55+08:00 ] /jiasp2/index.php/Index | INFO: Run ParseTemplate Behavior [ RunTime:0.016976s ]
[ 2013-04-09T14:36:55+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.017065s ]
[ 2013-04-09T14:36:55+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_filter ] --START--
[ 2013-04-09T14:36:55+08:00 ] /jiasp2/index.php/Index | INFO: Run ContentReplace Behavior [ RunTime:0.000681s ]
[ 2013-04-09T14:36:55+08:00 ] /jiasp2/index.php/Index | INFO: Run TokenBuild Behavior [ RunTime:0.000663s ]
[ 2013-04-09T14:36:55+08:00 ] /jiasp2/index.php/Index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001565s ]
[ 2013-04-09T14:36:55+08:00 ] /jiasp2/index.php/Index | INFO: Run ShowRuntime Behavior [ RunTime:0.000658s ]
[ 2013-04-09T14:36:55+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003783s ]
[ 2013-04-09T14:36:55+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_end ] --START--
[ 2013-04-09T14:36:55+08:00 ] /jiasp2/index.php/Index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001145s ]
[ 2013-04-09T14:36:55+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001228s ]
[ 2013-04-09T14:36:56+08:00 ] /jiasp2/Public/pic/visitor_textBg.png | ERR: (ThinkException) 无法加载模块Public
[ 2013-04-09T14:37:09+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ route_check ] --START--
[ 2013-04-09T14:37:09+08:00 ] /jiasp2/index.php/Index | INFO: Run CheckRoute Behavior [ RunTime:0.000818s ]
[ 2013-04-09T14:37:09+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000909s ]
[ 2013-04-09T14:37:09+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ app_begin ] --START--
[ 2013-04-09T14:37:09+08:00 ] /jiasp2/index.php/Index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000541s ]
[ 2013-04-09T14:37:09+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000610s ]
[ 2013-04-09T14:37:09+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_template ] --START--
[ 2013-04-09T14:37:09+08:00 ] /jiasp2/index.php/Index | INFO: Run LocationTemplate Behavior [ RunTime:0.000805s ]
[ 2013-04-09T14:37:09+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000878s ]
[ 2013-04-09T14:37:09+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_parse ] --START--
[ 2013-04-09T14:37:09+08:00 ] /jiasp2/index.php/Index | INFO: Run ParseTemplate Behavior [ RunTime:0.016980s ]
[ 2013-04-09T14:37:09+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.017063s ]
[ 2013-04-09T14:37:09+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_filter ] --START--
[ 2013-04-09T14:37:09+08:00 ] /jiasp2/index.php/Index | INFO: Run ContentReplace Behavior [ RunTime:0.000687s ]
[ 2013-04-09T14:37:09+08:00 ] /jiasp2/index.php/Index | INFO: Run TokenBuild Behavior [ RunTime:0.000656s ]
[ 2013-04-09T14:37:09+08:00 ] /jiasp2/index.php/Index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000301s ]
[ 2013-04-09T14:37:09+08:00 ] /jiasp2/index.php/Index | INFO: Run ShowRuntime Behavior [ RunTime:0.000549s ]
[ 2013-04-09T14:37:09+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003849s ]
[ 2013-04-09T14:37:09+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_end ] --START--
[ 2013-04-09T14:37:09+08:00 ] /jiasp2/index.php/Index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001105s ]
[ 2013-04-09T14:37:09+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001218s ]
[ 2013-04-09T14:40:34+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ route_check ] --START--
[ 2013-04-09T14:40:34+08:00 ] /jiasp2/index.php/Index | INFO: Run CheckRoute Behavior [ RunTime:0.000818s ]
[ 2013-04-09T14:40:34+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000919s ]
[ 2013-04-09T14:40:34+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ app_begin ] --START--
[ 2013-04-09T14:40:34+08:00 ] /jiasp2/index.php/Index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000548s ]
[ 2013-04-09T14:40:34+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000615s ]
[ 2013-04-09T14:40:34+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_template ] --START--
[ 2013-04-09T14:40:34+08:00 ] /jiasp2/index.php/Index | INFO: Run LocationTemplate Behavior [ RunTime:0.000606s ]
[ 2013-04-09T14:40:34+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000685s ]
[ 2013-04-09T14:40:34+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_parse ] --START--
[ 2013-04-09T14:40:34+08:00 ] /jiasp2/index.php/Index | INFO: Run ParseTemplate Behavior [ RunTime:0.018815s ]
[ 2013-04-09T14:40:34+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.018903s ]
[ 2013-04-09T14:40:34+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_filter ] --START--
[ 2013-04-09T14:40:34+08:00 ] /jiasp2/index.php/Index | INFO: Run ContentReplace Behavior [ RunTime:0.000702s ]
[ 2013-04-09T14:40:34+08:00 ] /jiasp2/index.php/Index | INFO: Run TokenBuild Behavior [ RunTime:0.000826s ]
[ 2013-04-09T14:40:34+08:00 ] /jiasp2/index.php/Index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000358s ]
[ 2013-04-09T14:40:34+08:00 ] /jiasp2/index.php/Index | INFO: Run ShowRuntime Behavior [ RunTime:0.000575s ]
[ 2013-04-09T14:40:34+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002675s ]
[ 2013-04-09T14:40:34+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_end ] --START--
[ 2013-04-09T14:40:34+08:00 ] /jiasp2/index.php/Index | INFO: Run ShowPageTrace Behavior [ RunTime:0.002392s ]
[ 2013-04-09T14:40:34+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_end ] --END-- [ RunTime:0.002536s ]
[ 2013-04-09T14:40:35+08:00 ] /jiasp2/APP/Tpl/Index/__PUBLIC__/simgs/contemporary-living-room.jpg | ERR: (ThinkException) 无法加载模块APP
[ 2013-04-09T14:40:35+08:00 ] /jiasp2/APP/Tpl/Index/__PUBLIC__/pic/spacer.gif?v=1589 | ERR: (ThinkException) 无法加载模块APP
[ 2013-04-09T14:42:49+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ route_check ] --START--
[ 2013-04-09T14:42:49+08:00 ] /jiasp2/index.php/Index | INFO: Run CheckRoute Behavior [ RunTime:0.001592s ]
[ 2013-04-09T14:42:49+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001700s ]
[ 2013-04-09T14:42:49+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ app_begin ] --START--
[ 2013-04-09T14:42:49+08:00 ] /jiasp2/index.php/Index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000636s ]
[ 2013-04-09T14:42:49+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000713s ]
[ 2013-04-09T14:42:49+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_template ] --START--
[ 2013-04-09T14:42:49+08:00 ] /jiasp2/index.php/Index | INFO: Run LocationTemplate Behavior [ RunTime:0.000605s ]
[ 2013-04-09T14:42:49+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000683s ]
[ 2013-04-09T14:42:49+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_parse ] --START--
[ 2013-04-09T14:42:49+08:00 ] /jiasp2/index.php/Index | INFO: Run ParseTemplate Behavior [ RunTime:0.016678s ]
[ 2013-04-09T14:42:49+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.016765s ]
[ 2013-04-09T14:42:49+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_filter ] --START--
[ 2013-04-09T14:42:49+08:00 ] /jiasp2/index.php/Index | INFO: Run ContentReplace Behavior [ RunTime:0.000647s ]
[ 2013-04-09T14:42:49+08:00 ] /jiasp2/index.php/Index | INFO: Run TokenBuild Behavior [ RunTime:0.004497s ]
[ 2013-04-09T14:42:49+08:00 ] /jiasp2/index.php/Index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000459s ]
[ 2013-04-09T14:42:49+08:00 ] /jiasp2/index.php/Index | INFO: Run ShowRuntime Behavior [ RunTime:0.000601s ]
[ 2013-04-09T14:42:49+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006431s ]
[ 2013-04-09T14:42:49+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_end ] --START--
[ 2013-04-09T14:42:49+08:00 ] /jiasp2/index.php/Index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001002s ]
[ 2013-04-09T14:42:49+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001093s ]
[ 2013-04-09T14:44:25+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ route_check ] --START--
[ 2013-04-09T14:44:25+08:00 ] /jiasp2/index.php/Index | INFO: Run CheckRoute Behavior [ RunTime:0.000971s ]
[ 2013-04-09T14:44:25+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001068s ]
[ 2013-04-09T14:44:25+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ app_begin ] --START--
[ 2013-04-09T14:44:25+08:00 ] /jiasp2/index.php/Index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001596s ]
[ 2013-04-09T14:44:25+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001672s ]
[ 2013-04-09T14:44:25+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_template ] --START--
[ 2013-04-09T14:44:25+08:00 ] /jiasp2/index.php/Index | INFO: Run LocationTemplate Behavior [ RunTime:0.000629s ]
[ 2013-04-09T14:44:25+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000701s ]
[ 2013-04-09T14:44:25+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_parse ] --START--
[ 2013-04-09T14:44:25+08:00 ] /jiasp2/index.php/Index | INFO: Run ParseTemplate Behavior [ RunTime:0.017245s ]
[ 2013-04-09T14:44:25+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.017329s ]
[ 2013-04-09T14:44:25+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_filter ] --START--
[ 2013-04-09T14:44:25+08:00 ] /jiasp2/index.php/Index | INFO: Run ContentReplace Behavior [ RunTime:0.000655s ]
[ 2013-04-09T14:44:25+08:00 ] /jiasp2/index.php/Index | INFO: Run TokenBuild Behavior [ RunTime:0.002079s ]
[ 2013-04-09T14:44:25+08:00 ] /jiasp2/index.php/Index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000417s ]
[ 2013-04-09T14:44:25+08:00 ] /jiasp2/index.php/Index | INFO: Run ShowRuntime Behavior [ RunTime:0.000590s ]
[ 2013-04-09T14:44:25+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.003954s ]
[ 2013-04-09T14:44:25+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_end ] --START--
[ 2013-04-09T14:44:25+08:00 ] /jiasp2/index.php/Index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000978s ]
[ 2013-04-09T14:44:25+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001056s ]
[ 2013-04-09T14:44:25+08:00 ] /jiasp2/index.php/CSS/1.css | ERR: (ThinkException) 无法加载模块CSS
[ 2013-04-09T14:44:33+08:00 ] /jiasp2/APP/Tpl/Index/pic/footerFollowButtons.png | ERR: (ThinkException) 无法加载模块APP
[ 2013-04-09T14:44:35+08:00 ] /jiasp2/APP/Tpl/Index/__PUBLIC__/pic/spacer.gif?v=1589 | ERR: (ThinkException) 无法加载模块APP
[ 2013-04-09T14:44:35+08:00 ] /jiasp2/APP/Tpl/Index/__PUBLIC__/simgs/contemporary-living-room.jpg | ERR: (ThinkException) 无法加载模块APP
[ 2013-04-09T14:44:50+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ route_check ] --START--
[ 2013-04-09T14:44:50+08:00 ] /jiasp2/index.php/Index | INFO: Run CheckRoute Behavior [ RunTime:0.000853s ]
[ 2013-04-09T14:44:50+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000948s ]
[ 2013-04-09T14:44:50+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ app_begin ] --START--
[ 2013-04-09T14:44:50+08:00 ] /jiasp2/index.php/Index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000558s ]
[ 2013-04-09T14:44:50+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000641s ]
[ 2013-04-09T14:44:50+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_template ] --START--
[ 2013-04-09T14:44:50+08:00 ] /jiasp2/index.php/Index | INFO: Run LocationTemplate Behavior [ RunTime:0.000620s ]
[ 2013-04-09T14:44:50+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000702s ]
[ 2013-04-09T14:44:50+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_parse ] --START--
[ 2013-04-09T14:44:50+08:00 ] /jiasp2/index.php/Index | INFO: Run ParseTemplate Behavior [ RunTime:0.017400s ]
[ 2013-04-09T14:44:50+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.017492s ]
[ 2013-04-09T14:44:50+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_filter ] --START--
[ 2013-04-09T14:44:50+08:00 ] /jiasp2/index.php/Index | INFO: Run ContentReplace Behavior [ RunTime:0.000655s ]
[ 2013-04-09T14:44:50+08:00 ] /jiasp2/index.php/Index | INFO: Run TokenBuild Behavior [ RunTime:0.004200s ]
[ 2013-04-09T14:44:50+08:00 ] /jiasp2/index.php/Index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000446s ]
[ 2013-04-09T14:44:50+08:00 ] /jiasp2/index.php/Index | INFO: Run ShowRuntime Behavior [ RunTime:0.000650s ]
[ 2013-04-09T14:44:50+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006184s ]
[ 2013-04-09T14:44:50+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_end ] --START--
[ 2013-04-09T14:44:50+08:00 ] /jiasp2/index.php/Index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001058s ]
[ 2013-04-09T14:44:50+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001165s ]
[ 2013-04-09T14:44:50+08:00 ] /jiasp2/index.php/CSS/1.css | ERR: (ThinkException) 无法加载模块CSS
[ 2013-04-09T14:44:50+08:00 ] /jiasp2/index.php/CSS/2.css | ERR: (ThinkException) 无法加载模块CSS
[ 2013-04-09T14:44:50+08:00 ] /jiasp2/index.php/CSS/3.css | ERR: (ThinkException) 无法加载模块CSS
[ 2013-04-09T14:46:12+08:00 ] /jiasp2/APP/Tpl/Index/CSS/1.css | ERR: (ThinkException) 无法加载模块APP
[ 2013-04-09T14:46:13+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ route_check ] --START--
[ 2013-04-09T14:46:13+08:00 ] /jiasp2/index.php/Index | INFO: Run CheckRoute Behavior [ RunTime:0.000762s ]
[ 2013-04-09T14:46:13+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000857s ]
[ 2013-04-09T14:46:13+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ app_begin ] --START--
[ 2013-04-09T14:46:13+08:00 ] /jiasp2/index.php/Index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000514s ]
[ 2013-04-09T14:46:13+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000594s ]
[ 2013-04-09T14:46:13+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_template ] --START--
[ 2013-04-09T14:46:13+08:00 ] /jiasp2/index.php/Index | INFO: Run LocationTemplate Behavior [ RunTime:0.000405s ]
[ 2013-04-09T14:46:13+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000481s ]
[ 2013-04-09T14:46:13+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_parse ] --START--
[ 2013-04-09T14:46:13+08:00 ] /jiasp2/index.php/Index | INFO: Run ParseTemplate Behavior [ RunTime:0.016465s ]
[ 2013-04-09T14:46:13+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.016555s ]
[ 2013-04-09T14:46:13+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_filter ] --START--
[ 2013-04-09T14:46:13+08:00 ] /jiasp2/index.php/Index | INFO: Run ContentReplace Behavior [ RunTime:0.000608s ]
[ 2013-04-09T14:46:13+08:00 ] /jiasp2/index.php/Index | INFO: Run TokenBuild Behavior [ RunTime:0.000603s ]
[ 2013-04-09T14:46:13+08:00 ] /jiasp2/index.php/Index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000240s ]
[ 2013-04-09T14:46:13+08:00 ] /jiasp2/index.php/Index | INFO: Run ShowRuntime Behavior [ RunTime:0.000515s ]
[ 2013-04-09T14:46:13+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002177s ]
[ 2013-04-09T14:46:13+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_end ] --START--
[ 2013-04-09T14:46:13+08:00 ] /jiasp2/index.php/Index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000405s ]
[ 2013-04-09T14:46:13+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001449s ]
[ 2013-04-09T14:46:13+08:00 ] //jiasp2/App/Tpl/Public/CSS/1.css | ERR: (ThinkException) 无法加载模块APP
[ 2013-04-09T14:46:13+08:00 ] //jiasp2/App/Tpl/Public/2.css | ERR: (ThinkException) 无法加载模块APP
[ 2013-04-09T14:46:13+08:00 ] //jiasp2/App/Tpl/Public/3.css | ERR: (ThinkException) 无法加载模块APP
[ 2013-04-09T14:46:20+08:00 ] /jiasp2/Public/2.css | ERR: (ThinkException) 无法加载模块Public
[ 2013-04-09T14:46:20+08:00 ] /jiasp2/Public/3.css | ERR: (ThinkException) 无法加载模块Public
[ 2013-04-09T14:46:20+08:00 ] /jiasp2/APP/Tpl/Index/__PUBLIC__/pic/spacer.gif?v=1589 | ERR: (ThinkException) 无法加载模块APP
[ 2013-04-09T14:46:20+08:00 ] /jiasp2/APP/Tpl/Index/__PUBLIC__/pic/print_logo.png?v=1589 | ERR: (ThinkException) 无法加载模块APP
[ 2013-04-09T14:46:20+08:00 ] /jiasp2/APP/Tpl/Index/__PUBLIC__/pic/sina.png | ERR: (ThinkException) 无法加载模块APP
[ 2013-04-09T14:46:20+08:00 ] /jiasp2/APP/Tpl/Index/__PUBLIC__/simgs/modern-patio.jpg | ERR: (ThinkException) 无法加载模块APP
[ 2013-04-09T14:46:22+08:00 ] /jiasp2/APP/Tpl/Index/__PUBLIC__/pic/spacer.gif?v=1589 | ERR: (ThinkException) 无法加载模块APP
[ 2013-04-09T14:46:22+08:00 ] /jiasp2/APP/Tpl/Index/__PUBLIC__/simgs/contemporary-living-room.jpg | ERR: (ThinkException) 无法加载模块APP
[ 2013-04-09T14:46:43+08:00 ] /jiasp2/APP/Tpl/Index/__PUBLIC__/pic/spacer.gif?v=1589 | ERR: (ThinkException) 无法加载模块APP
[ 2013-04-09T14:46:43+08:00 ] /jiasp2/APP/Tpl/Index/__PUBLIC__/pic/print_logo.png?v=1589 | ERR: (ThinkException) 无法加载模块APP
[ 2013-04-09T14:46:43+08:00 ] /jiasp2/Public/pic/visitor_textBg.png | ERR: (ThinkException) 无法加载模块Public
[ 2013-04-09T14:46:43+08:00 ] /jiasp2/APP/Tpl/Index/__PUBLIC__/pic/sina.png | ERR: (ThinkException) 无法加载模块APP
[ 2013-04-09T14:46:43+08:00 ] /jiasp2/APP/Tpl/Index/__PUBLIC__/simgs/modern-patio.jpg | ERR: (ThinkException) 无法加载模块APP
[ 2013-04-09T14:46:45+08:00 ] /jiasp2/APP/Tpl/Index/__PUBLIC__/pic/spacer.gif?v=1589 | ERR: (ThinkException) 无法加载模块APP
[ 2013-04-09T14:46:45+08:00 ] /jiasp2/APP/Tpl/Index/__PUBLIC__/simgs/contemporary-living-room.jpg | ERR: (ThinkException) 无法加载模块APP
[ 2013-04-09T14:50:49+08:00 ] /jiasp2/Public/pic/visitor_textBg.png | ERR: (ThinkException) 无法加载模块Public
[ 2013-04-09T14:50:51+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ route_check ] --START--
[ 2013-04-09T14:50:51+08:00 ] /jiasp2/index.php/Index | INFO: Run CheckRoute Behavior [ RunTime:0.000832s ]
[ 2013-04-09T14:50:51+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000929s ]
[ 2013-04-09T14:50:51+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ app_begin ] --START--
[ 2013-04-09T14:50:51+08:00 ] /jiasp2/index.php/Index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001062s ]
[ 2013-04-09T14:50:51+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001146s ]
[ 2013-04-09T14:50:51+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_template ] --START--
[ 2013-04-09T14:50:51+08:00 ] /jiasp2/index.php/Index | INFO: Run LocationTemplate Behavior [ RunTime:0.000624s ]
[ 2013-04-09T14:50:51+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000708s ]
[ 2013-04-09T14:50:51+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_parse ] --START--
[ 2013-04-09T14:50:51+08:00 ] /jiasp2/index.php/Index | INFO: Run ParseTemplate Behavior [ RunTime:0.019273s ]
[ 2013-04-09T14:50:51+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.019373s ]
[ 2013-04-09T14:50:51+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_filter ] --START--
[ 2013-04-09T14:50:51+08:00 ] /jiasp2/index.php/Index | INFO: Run ContentReplace Behavior [ RunTime:0.000814s ]
[ 2013-04-09T14:50:51+08:00 ] /jiasp2/index.php/Index | INFO: Run TokenBuild Behavior [ RunTime:0.004255s ]
[ 2013-04-09T14:50:51+08:00 ] /jiasp2/index.php/Index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000347s ]
[ 2013-04-09T14:50:51+08:00 ] /jiasp2/index.php/Index | INFO: Run ShowRuntime Behavior [ RunTime:0.000578s ]
[ 2013-04-09T14:50:51+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006228s ]
[ 2013-04-09T14:50:51+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_end ] --START--
[ 2013-04-09T14:50:51+08:00 ] /jiasp2/index.php/Index | INFO: Run ShowPageTrace Behavior [ RunTime:0.021339s ]
