[ 2013-04-09T11:47:14+08:00 ] /jiasp2/index.php/Index | INFO: Run CheckRoute Behavior [ RunTime:0.001096s ]
[ 2013-04-09T11:47:14+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001193s ]
[ 2013-04-09T11:47:14+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ app_begin ] --START--
[ 2013-04-09T11:47:14+08:00 ] /jiasp2/index.php/Index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000551s ]
[ 2013-04-09T11:47:14+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000620s ]
[ 2013-04-09T11:47:14+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_template ] --START--
[ 2013-04-09T11:47:14+08:00 ] /jiasp2/index.php/Index | INFO: Run LocationTemplate Behavior [ RunTime:0.000620s ]
[ 2013-04-09T11:47:14+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000701s ]
[ 2013-04-09T11:47:14+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_parse ] --START--
[ 2013-04-09T11:47:14+08:00 ] /jiasp2/index.php/Index | INFO: Run ParseTemplate Behavior [ RunTime:0.019102s ]
[ 2013-04-09T11:47:14+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.019185s ]
[ 2013-04-09T11:47:14+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_filter ] --START--
[ 2013-04-09T11:47:14+08:00 ] /jiasp2/index.php/Index | INFO: Run ContentReplace Behavior [ RunTime:0.000900s ]
[ 2013-04-09T11:47:14+08:00 ] /jiasp2/index.php/Index | INFO: Run TokenBuild Behavior [ RunTime:0.003183s ]
[ 2013-04-09T11:47:14+08:00 ] /jiasp2/index.php/Index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000322s ]
[ 2013-04-09T11:47:14+08:00 ] /jiasp2/index.php/Index | INFO: Run ShowRuntime Behavior [ RunTime:0.001413s ]
[ 2013-04-09T11:47:14+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.006061s ]
[ 2013-04-09T11:47:14+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_end ] --START--
[ 2013-04-09T11:47:14+08:00 ] /jiasp2/index.php/Index | INFO: Run ShowPageTrace Behavior [ RunTime:0.001239s ]
[ 2013-04-09T11:47:14+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_end ] --END-- [ RunTime:0.001323s ]
[ 2013-04-09T13:06:58+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ route_check ] --START--
[ 2013-04-09T13:06:58+08:00 ] /jiasp2/index.php/Index | INFO: Run CheckRoute Behavior [ RunTime:0.000835s ]
[ 2013-04-09T13:06:58+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000931s ]
[ 2013-04-09T13:06:58+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ app_begin ] --START--
[ 2013-04-09T13:06:58+08:00 ] /jiasp2/index.php/Index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001164s ]
[ 2013-04-09T13:06:58+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001236s ]
[ 2013-04-09T13:06:58+08:00 ] /jiasp2/index.php/Index | INFO: Tag[ view_template ] --START--
