[ 2013-04-13T22:10:32+08:00 ] /jiasp2/ | INFO: Tag[ app_begin ] --START--
[ 2013-04-13T22:10:32+08:00 ] /jiasp2/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000889s ]
[ 2013-04-13T22:10:32+08:00 ] /jiasp2/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001020s ]
[ 2013-04-13T22:10:32+08:00 ] /jiasp2/ | INFO: Tag[ view_template ] --START--
[ 2013-04-13T22:10:32+08:00 ] /jiasp2/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000866s ]
[ 2013-04-13T22:10:32+08:00 ] /jiasp2/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000974s ]
[ 2013-04-13T22:10:32+08:00 ] /jiasp2/ | INFO: Tag[ view_parse ] --START--
[ 2013-04-13T22:10:32+08:00 ] /jiasp2/ | INFO: Run ParseTemplate Behavior [ RunTime:0.007285s ]
[ 2013-04-13T22:10:32+08:00 ] /jiasp2/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.007382s ]
[ 2013-04-13T22:10:32+08:00 ] /jiasp2/ | INFO: Tag[ view_filter ] --START--
[ 2013-04-13T22:10:32+08:00 ] /jiasp2/ | INFO: Run ContentReplace Behavior [ RunTime:0.000485s ]
[ 2013-04-13T22:10:32+08:00 ] /jiasp2/ | INFO: Run TokenBuild Behavior [ RunTime:0.000535s ]
[ 2013-04-13T22:10:32+08:00 ] /jiasp2/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000330s ]
[ 2013-04-13T22:10:32+08:00 ] /jiasp2/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000593s ]
[ 2013-04-13T22:10:32+08:00 ] /jiasp2/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002149s ]
[ 2013-04-13T22:10:32+08:00 ] /jiasp2/ | INFO: Tag[ view_template ] --START--
[ 2013-04-13T22:10:32+08:00 ] /jiasp2/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000226s ]
[ 2013-04-13T22:10:32+08:00 ] /jiasp2/ | INFO: Tag[ view_template ] --END-- [ RunTime:-0.009766s ]
[ 2013-04-13T22:10:32+08:00 ] /jiasp2/ | INFO: Tag[ view_parse ] --START--
[ 2013-04-13T22:10:32+08:00 ] /jiasp2/ | INFO: Run ParseTemplate Behavior [ RunTime:0.002333s ]
[ 2013-04-13T22:10:32+08:00 ] /jiasp2/ | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.002660s ]
[ 2013-04-13T22:10:32+08:00 ] /jiasp2/ | INFO: Tag[ view_filter ] --START--
[ 2013-04-13T22:10:32+08:00 ] /jiasp2/ | INFO: Run ContentReplace Behavior [ RunTime:0.000112s ]
[ 2013-04-13T22:10:32+08:00 ] /jiasp2/ | INFO: Run TokenBuild Behavior [ RunTime:0.000106s ]
[ 2013-04-13T22:10:32+08:00 ] /jiasp2/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000020s ]
[ 2013-04-13T22:10:32+08:00 ] /jiasp2/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000148s ]
[ 2013-04-13T22:10:32+08:00 ] /jiasp2/ | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.002933s ]
[ 2013-04-13T22:10:32+08:00 ] /jiasp2/ | INFO: Tag[ view_template ] --START--
[ 2013-04-13T22:10:32+08:00 ] /jiasp2/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000304s ]
[ 2013-04-13T22:10:32+08:00 ] /jiasp2/ | INFO: Tag[ view_template ] --END-- [ RunTime:-0.013293s ]
[ 2013-04-13T22:10:32+08:00 ] /jiasp2/ | INFO: Tag[ view_parse ] --START--
[ 2013-04-13T22:10:32+08:00 ] /jiasp2/ | INFO: Run ParseTemplate Behavior [ RunTime:0.004328s ]
