[ 2013-04-10T11:38:12+08:00 ] /jiasp2/ | INFO: Tag[ app_begin ] --START--
[ 2013-04-10T11:38:12+08:00 ] /jiasp2/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001192s ]
[ 2013-04-10T11:38:12+08:00 ] /jiasp2/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001444s ]
[ 2013-04-10T11:38:12+08:00 ] /jiasp2/ | INFO: Tag[ view_template ] --START--
[ 2013-04-10T11:38:12+08:00 ] /jiasp2/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001092s ]
[ 2013-04-10T11:38:12+08:00 ] /jiasp2/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001224s ]
[ 2013-04-10T11:38:12+08:00 ] /jiasp2/ | INFO: Tag[ view_parse ] --START--
[ 2013-04-10T11:38:12+08:00 ] /jiasp2/ | INFO: Run ParseTemplate Behavior [ RunTime:0.023254s ]
[ 2013-04-10T11:38:12+08:00 ] /jiasp2/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.023359s ]
[ 2013-04-10T11:38:12+08:00 ] /jiasp2/ | INFO: Tag[ view_filter ] --START--
[ 2013-04-10T11:38:12+08:00 ] /jiasp2/ | INFO: Run ContentReplace Behavior [ RunTime:0.000712s ]
[ 2013-04-10T11:38:12+08:00 ] /jiasp2/ | INFO: Run TokenBuild Behavior [ RunTime:0.000680s ]
[ 2013-04-10T11:38:12+08:00 ] /jiasp2/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000312s ]
[ 2013-04-10T11:38:12+08:00 ] /jiasp2/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000566s ]
[ 2013-04-10T11:38:12+08:00 ] /jiasp2/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002461s ]
[ 2013-04-10T11:38:12+08:00 ] /jiasp2/ | INFO: Tag[ view_end ] --START--
[ 2013-04-10T11:38:12+08:00 ] /jiasp2/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000610s ]
[ 2013-04-10T11:38:12+08:00 ] /jiasp2/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000688s ]
[ 2013-04-10T11:38:13+08:00 ] /jiasp2/Public/pic/visitor_textBg.png | ERR: (ThinkException) 无法加载模块Public
[ 2013-04-10T14:03:18+08:00 ] /jiasp2/ | INFO: Tag[ app_begin ] --START--
[ 2013-04-10T14:03:18+08:00 ] /jiasp2/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001177s ]
[ 2013-04-10T14:03:18+08:00 ] /jiasp2/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001404s ]
[ 2013-04-10T14:03:18+08:00 ] /jiasp2/ | INFO: Tag[ view_template ] --START--
[ 2013-04-10T14:03:18+08:00 ] /jiasp2/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000617s ]
[ 2013-04-10T14:03:18+08:00 ] /jiasp2/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000697s ]
[ 2013-04-10T14:03:18+08:00 ] /jiasp2/ | INFO: Tag[ view_parse ] --START--
[ 2013-04-10T14:03:18+08:00 ] /jiasp2/ | INFO: Run ParseTemplate Behavior [ RunTime:0.016743s ]
[ 2013-04-10T14:03:18+08:00 ] /jiasp2/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.016828s ]
[ 2013-04-10T14:03:18+08:00 ] /jiasp2/ | INFO: Tag[ view_filter ] --START--
[ 2013-04-10T14:03:18+08:00 ] /jiasp2/ | INFO: Run ContentReplace Behavior [ RunTime:0.000739s ]
[ 2013-04-10T14:03:18+08:00 ] /jiasp2/ | INFO: Run TokenBuild Behavior [ RunTime:0.000755s ]
