[ 2013-04-11T15:10:15+08:00 ] /jiasp2/ | INFO: Run ContentReplace Behavior [ RunTime:0.000441s ]
[ 2013-04-11T15:10:15+08:00 ] /jiasp2/ | INFO: Run TokenBuild Behavior [ RunTime:0.000477s ]
[ 2013-04-11T15:10:15+08:00 ] /jiasp2/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000299s ]
[ 2013-04-11T15:10:15+08:00 ] /jiasp2/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000564s ]
[ 2013-04-11T15:10:15+08:00 ] /jiasp2/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001969s ]
[ 2013-04-11T15:10:15+08:00 ] /jiasp2/ | INFO: Tag[ view_template ] --START--
[ 2013-04-11T15:10:15+08:00 ] /jiasp2/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000292s ]
[ 2013-04-11T15:10:15+08:00 ] /jiasp2/ | INFO: Tag[ view_template ] --END-- [ RunTime:-0.008957s ]
[ 2013-04-11T15:10:15+08:00 ] /jiasp2/ | INFO: Tag[ view_parse ] --START--
[ 2013-04-11T15:10:15+08:00 ] /jiasp2/ | INFO: Run ParseTemplate Behavior [ RunTime:0.002351s ]
[ 2013-04-11T15:10:15+08:00 ] /jiasp2/ | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.002527s ]
[ 2013-04-11T15:10:15+08:00 ] /jiasp2/ | INFO: Tag[ view_filter ] --START--
[ 2013-04-11T15:10:15+08:00 ] /jiasp2/ | INFO: Run ContentReplace Behavior [ RunTime:0.000106s ]
[ 2013-04-11T15:10:15+08:00 ] /jiasp2/ | INFO: Run TokenBuild Behavior [ RunTime:0.000096s ]
[ 2013-04-11T15:10:15+08:00 ] /jiasp2/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000018s ]
[ 2013-04-11T15:10:15+08:00 ] /jiasp2/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000135s ]
[ 2013-04-11T15:10:15+08:00 ] /jiasp2/ | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.002988s ]
[ 2013-04-11T15:10:15+08:00 ] /jiasp2/ | INFO: Tag[ view_template ] --START--
[ 2013-04-11T15:10:15+08:00 ] /jiasp2/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000174s ]
[ 2013-04-11T15:10:15+08:00 ] /jiasp2/ | INFO: Tag[ view_template ] --END-- [ RunTime:-0.012486s ]
[ 2013-04-11T15:10:15+08:00 ] /jiasp2/ | INFO: Tag[ view_parse ] --START--
[ 2013-04-11T15:10:15+08:00 ] /jiasp2/ | INFO: Run ParseTemplate Behavior [ RunTime:0.003962s ]
[ 2013-04-11T15:10:15+08:00 ] /jiasp2/ | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.005931s ]
[ 2013-04-11T15:10:15+08:00 ] /jiasp2/ | INFO: Tag[ view_filter ] --START--
[ 2013-04-11T15:10:15+08:00 ] /jiasp2/ | INFO: Run ContentReplace Behavior [ RunTime:0.000170s ]
[ 2013-04-11T15:10:15+08:00 ] /jiasp2/ | INFO: Run TokenBuild Behavior [ RunTime:0.000167s ]
[ 2013-04-11T15:10:15+08:00 ] /jiasp2/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000020s ]
[ 2013-04-11T15:10:15+08:00 ] /jiasp2/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000142s ]
[ 2013-04-11T15:10:15+08:00 ] /jiasp2/ | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.008004s ]
[ 2013-04-11T15:10:15+08:00 ] /jiasp2/ | INFO: Tag[ view_end ] --START--
[ 2013-04-11T15:10:15+08:00 ] /jiasp2/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000544s ]
[ 2013-04-11T15:10:15+08:00 ] /jiasp2/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000616s ]
[ 2013-04-11T15:10:16+08:00 ] /jiasp2/Public/pic/visitor_textBg.png | ERR: (ThinkException) 非法操作pic
[ 2013-04-11T15:10:17+08:00 ] /jiasp2/Space | INFO: Tag[ route_check ] --START--
[ 2013-04-11T15:10:17+08:00 ] /jiasp2/Space | INFO: Run CheckRoute Behavior [ RunTime:0.000813s ]
[ 2013-04-11T15:10:17+08:00 ] /jiasp2/Space | INFO: Tag[ route_check ] --END-- [ RunTime:0.000904s ]
