[ 2013-04-16T10:17:09+08:00 ] /jiasp2/ | INFO: Tag[ app_begin ] --START--
[ 2013-04-16T10:17:09+08:00 ] /jiasp2/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.002267s ]
[ 2013-04-16T10:17:09+08:00 ] /jiasp2/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.013097s ]
[ 2013-04-16T10:17:09+08:00 ] /jiasp2/ | INFO: Tag[ view_template ] --START--
[ 2013-04-16T10:17:09+08:00 ] /jiasp2/ | INFO: Run LocationTemplate Behavior [ RunTime:0.048416s ]
[ 2013-04-16T10:17:09+08:00 ] /jiasp2/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.048568s ]
[ 2013-04-16T10:17:09+08:00 ] /jiasp2/ | INFO: Tag[ view_parse ] --START--
[ 2013-04-16T10:17:09+08:00 ] /jiasp2/ | INFO: Run ParseTemplate Behavior [ RunTime:0.044199s ]
[ 2013-04-16T10:17:09+08:00 ] /jiasp2/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.044348s ]
[ 2013-04-16T10:17:09+08:00 ] /jiasp2/ | INFO: Tag[ view_filter ] --START--
[ 2013-04-16T10:17:09+08:00 ] /jiasp2/ | INFO: Run ContentReplace Behavior [ RunTime:0.001168s ]
[ 2013-04-16T10:17:09+08:00 ] /jiasp2/ | INFO: Run TokenBuild Behavior [ RunTime:0.007817s ]
[ 2013-04-16T10:17:09+08:00 ] /jiasp2/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001240s ]
[ 2013-04-16T10:17:09+08:00 ] /jiasp2/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001310s ]
[ 2013-04-16T10:17:09+08:00 ] /jiasp2/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.011876s ]
[ 2013-04-16T10:17:09+08:00 ] /jiasp2/ | INFO: Tag[ view_template ] --START--
[ 2013-04-16T10:17:09+08:00 ] /jiasp2/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000701s ]
[ 2013-04-16T10:17:09+08:00 ] /jiasp2/ | INFO: Tag[ view_template ] --END-- [ RunTime:-0.056573s ]
[ 2013-04-16T10:17:09+08:00 ] /jiasp2/ | INFO: Tag[ view_parse ] --START--
[ 2013-04-16T10:17:09+08:00 ] /jiasp2/ | INFO: Run ParseTemplate Behavior [ RunTime:0.012650s ]
[ 2013-04-16T10:17:09+08:00 ] /jiasp2/ | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.013029s ]
[ 2013-04-16T10:17:09+08:00 ] /jiasp2/ | INFO: Tag[ view_filter ] --START--
[ 2013-04-16T10:17:09+08:00 ] /jiasp2/ | INFO: Run ContentReplace Behavior [ RunTime:0.000170s ]
[ 2013-04-16T10:17:09+08:00 ] /jiasp2/ | INFO: Run TokenBuild Behavior [ RunTime:0.000163s ]
[ 2013-04-16T10:17:09+08:00 ] /jiasp2/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000030s ]
[ 2013-04-16T10:17:09+08:00 ] /jiasp2/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000234s ]
[ 2013-04-16T10:17:09+08:00 ] /jiasp2/ | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.013942s ]
[ 2013-04-16T10:17:09+08:00 ] /jiasp2/ | INFO: Tag[ view_template ] --START--
[ 2013-04-16T10:17:09+08:00 ] /jiasp2/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000608s ]
[ 2013-04-16T10:17:09+08:00 ] /jiasp2/ | INFO: Tag[ view_template ] --END-- [ RunTime:-0.071563s ]
[ 2013-04-16T10:17:09+08:00 ] /jiasp2/ | INFO: Tag[ view_parse ] --START--
[ 2013-04-16T10:17:09+08:00 ] /jiasp2/ | INFO: Run ParseTemplate Behavior [ RunTime:0.024309s ]
[ 2013-04-16T10:17:09+08:00 ] /jiasp2/ | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.027925s ]
[ 2013-04-16T10:17:09+08:00 ] /jiasp2/ | INFO: Tag[ view_filter ] --START--
[ 2013-04-16T10:17:09+08:00 ] /jiasp2/ | INFO: Run ContentReplace Behavior [ RunTime:0.000278s ]
[ 2013-04-16T10:17:09+08:00 ] /jiasp2/ | INFO: Run TokenBuild Behavior [ RunTime:0.000284s ]
[ 2013-04-16T10:17:09+08:00 ] /jiasp2/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000031s ]
[ 2013-04-16T10:17:09+08:00 ] /jiasp2/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000324s ]
[ 2013-04-16T10:17:09+08:00 ] /jiasp2/ | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.040496s ]
[ 2013-04-16T10:17:09+08:00 ] /jiasp2/ | INFO: Tag[ view_end ] --START--
[ 2013-04-16T10:17:09+08:00 ] /jiasp2/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.004677s ]
[ 2013-04-16T10:17:09+08:00 ] /jiasp2/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.004832s ]
[ 2013-04-16T10:17:10+08:00 ] /jiasp2/Public/pic/visitor_textBg.png | ERR: (ThinkException) 无法加载模块Public
[ 2013-04-16T10:25:07+08:00 ] /jiasp2/Space/index | INFO: Tag[ route_check ] --START--
[ 2013-04-16T10:25:07+08:00 ] /jiasp2/Space/index | INFO: Run CheckRoute Behavior [ RunTime:0.001584s ]
[ 2013-04-16T10:25:07+08:00 ] /jiasp2/Space/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001716s ]
[ 2013-04-16T10:25:07+08:00 ] /jiasp2/Space/index | INFO: Tag[ app_begin ] --START--
[ 2013-04-16T10:25:07+08:00 ] /jiasp2/Space/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001245s ]
[ 2013-04-16T10:25:07+08:00 ] /jiasp2/Space/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001346s ]
[ 2013-04-16T10:25:07+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_template ] --START--
[ 2013-04-16T10:25:07+08:00 ] /jiasp2/Space/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001988s ]
[ 2013-04-16T10:25:07+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.002114s ]
[ 2013-04-16T10:25:07+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_parse ] --START--
[ 2013-04-16T10:25:07+08:00 ] /jiasp2/Space/index | INFO: Run ParseTemplate Behavior [ RunTime:0.009641s ]
[ 2013-04-16T10:25:07+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.009739s ]
[ 2013-04-16T10:25:07+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_filter ] --START--
[ 2013-04-16T10:25:07+08:00 ] /jiasp2/Space/index | INFO: Run ContentReplace Behavior [ RunTime:0.000611s ]
[ 2013-04-16T10:25:07+08:00 ] /jiasp2/Space/index | INFO: Run TokenBuild Behavior [ RunTime:0.000656s ]
[ 2013-04-16T10:25:07+08:00 ] /jiasp2/Space/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000487s ]
[ 2013-04-16T10:25:07+08:00 ] /jiasp2/Space/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000708s ]
[ 2013-04-16T10:25:07+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002661s ]
[ 2013-04-16T10:25:07+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_template ] --START--
[ 2013-04-16T10:25:07+08:00 ] /jiasp2/Space/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000688s ]
[ 2013-04-16T10:25:07+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_template ] --END-- [ RunTime:-0.012638s ]
[ 2013-04-16T10:25:07+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_parse ] --START--
[ 2013-04-16T10:25:07+08:00 ] /jiasp2/Space/index | INFO: Run ParseTemplate Behavior [ RunTime:0.003165s ]
[ 2013-04-16T10:25:07+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.003614s ]
[ 2013-04-16T10:25:07+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_filter ] --START--
