[ 2013-04-08T14:47:45+08:00 ] /jiasp2/ | INFO: Tag[ app_begin ] --START--
[ 2013-04-08T14:47:45+08:00 ] /jiasp2/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000654s ]
[ 2013-04-08T14:47:45+08:00 ] /jiasp2/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000745s ]
[ 2013-04-08T14:47:45+08:00 ] /jiasp2/ | NOTIC: [2] session_start(): Cannot send session cookie - headers already sent by (output started at G:\apache\htdocs\jiasp2\ThinkPHP\Extend\Engine\Sae\SaeImit\config.php:8) functions.php 第 411 行.
[ 2013-04-08T14:47:45+08:00 ] /jiasp2/ | NOTIC: [2] session_start(): Cannot send session cache limiter - headers already sent (output started at G:\apache\htdocs\jiasp2\ThinkPHP\Extend\Engine\Sae\SaeImit\config.php:8) functions.php 第 411 行.
[ 2013-04-08T14:47:45+08:00 ] /jiasp2/ | NOTIC: [2] Cannot modify header information - headers already sent by (output started at G:\apache\htdocs\jiasp2\ThinkPHP\Extend\Engine\Sae\SaeImit\config.php:8) IndexAction.class.php 第 5 行.
[ 2013-04-08T14:52:45+08:00 ] /jiasp2/ | INFO: Tag[ app_begin ] --START--
[ 2013-04-08T14:52:45+08:00 ] /jiasp2/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000766s ]
[ 2013-04-08T14:52:45+08:00 ] /jiasp2/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000862s ]
[ 2013-04-08T14:56:16+08:00 ] /jiasp2/ | INFO: Tag[ app_begin ] --START--
[ 2013-04-08T14:56:16+08:00 ] /jiasp2/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000735s ]
[ 2013-04-08T14:56:16+08:00 ] /jiasp2/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000830s ]
[ 2013-04-08T14:56:16+08:00 ] /jiasp2/ | INFO: Tag[ view_template ] --START--
[ 2013-04-08T14:56:16+08:00 ] /jiasp2/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000842s ]
[ 2013-04-08T14:56:16+08:00 ] /jiasp2/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000922s ]
[ 2013-04-08T14:56:16+08:00 ] /jiasp2/ | INFO: Tag[ view_parse ] --START--
[ 2013-04-08T14:56:16+08:00 ] /jiasp2/ | INFO: Run ParseTemplate Behavior [ RunTime:0.036007s ]
[ 2013-04-08T14:56:16+08:00 ] /jiasp2/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.036276s ]
[ 2013-04-08T14:56:16+08:00 ] /jiasp2/ | INFO: Tag[ view_filter ] --START--
[ 2013-04-08T14:56:16+08:00 ] /jiasp2/ | INFO: Run ContentReplace Behavior [ RunTime:0.000732s ]
[ 2013-04-08T14:56:16+08:00 ] /jiasp2/ | INFO: Run TokenBuild Behavior [ RunTime:0.000767s ]
[ 2013-04-08T14:56:16+08:00 ] /jiasp2/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000408s ]
[ 2013-04-08T14:56:16+08:00 ] /jiasp2/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000660s ]
[ 2013-04-08T14:56:16+08:00 ] /jiasp2/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002789s ]
[ 2013-04-08T14:56:16+08:00 ] /jiasp2/ | INFO: Tag[ view_end ] --START--
[ 2013-04-08T14:56:16+08:00 ] /jiasp2/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000713s ]
[ 2013-04-08T14:56:16+08:00 ] /jiasp2/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000799s ]
[ 2013-04-08T15:04:06+08:00 ] /jiasp2/ | INFO: Tag[ app_begin ] --START--
[ 2013-04-08T15:04:06+08:00 ] /jiasp2/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001120s ]
[ 2013-04-08T15:04:06+08:00 ] /jiasp2/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001259s ]
