[ 2013-04-18T09:21:19+08:00 ] /jiasp2/ | INFO: Tag[ app_begin ] --START--
[ 2013-04-18T09:21:19+08:00 ] /jiasp2/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.021156s ]
[ 2013-04-18T09:21:19+08:00 ] /jiasp2/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.021611s ]
[ 2013-04-18T09:21:19+08:00 ] /jiasp2/ | INFO: Tag[ view_template ] --START--
[ 2013-04-18T09:21:19+08:00 ] /jiasp2/ | INFO: Run LocationTemplate Behavior [ RunTime:0.163127s ]
[ 2013-04-18T09:21:19+08:00 ] /jiasp2/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.163267s ]
[ 2013-04-18T09:21:19+08:00 ] /jiasp2/ | INFO: Tag[ view_parse ] --START--
[ 2013-04-18T09:21:19+08:00 ] /jiasp2/ | INFO: Run ParseTemplate Behavior [ RunTime:0.084188s ]
[ 2013-04-18T09:21:19+08:00 ] /jiasp2/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.084331s ]
[ 2013-04-18T09:21:19+08:00 ] /jiasp2/ | INFO: Tag[ view_filter ] --START--
[ 2013-04-18T09:21:19+08:00 ] /jiasp2/ | INFO: Run ContentReplace Behavior [ RunTime:0.018602s ]
[ 2013-04-18T09:21:19+08:00 ] /jiasp2/ | INFO: Run TokenBuild Behavior [ RunTime:0.001651s ]
[ 2013-04-18T09:21:19+08:00 ] /jiasp2/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000966s ]
[ 2013-04-18T09:21:19+08:00 ] /jiasp2/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001581s ]
[ 2013-04-18T09:21:19+08:00 ] /jiasp2/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.023218s ]
[ 2013-04-18T09:21:19+08:00 ] /jiasp2/ | INFO: Tag[ view_template ] --START--
[ 2013-04-18T09:21:19+08:00 ] /jiasp2/ | INFO: Run LocationTemplate Behavior [ RunTime:0.019362s ]
[ 2013-04-18T09:21:19+08:00 ] /jiasp2/ | INFO: Tag[ view_template ] --END-- [ RunTime:-0.107909s ]
[ 2013-04-18T09:21:19+08:00 ] /jiasp2/ | INFO: Tag[ view_parse ] --START--
[ 2013-04-18T09:21:19+08:00 ] /jiasp2/ | INFO: Run ParseTemplate Behavior [ RunTime:0.024650s ]
[ 2013-04-18T09:21:19+08:00 ] /jiasp2/ | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.043045s ]
[ 2013-04-18T09:21:19+08:00 ] /jiasp2/ | INFO: Tag[ view_filter ] --START--
[ 2013-04-18T09:21:19+08:00 ] /jiasp2/ | INFO: Run ContentReplace Behavior [ RunTime:0.000157s ]
[ 2013-04-18T09:21:19+08:00 ] /jiasp2/ | INFO: Run TokenBuild Behavior [ RunTime:0.000145s ]
[ 2013-04-18T09:21:19+08:00 ] /jiasp2/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000029s ]
