[ 2013-04-12T08:55:10+08:00 ] /jiasp2/ | INFO: Tag[ app_begin ] --START--
[ 2013-04-12T08:55:10+08:00 ] /jiasp2/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001137s ]
[ 2013-04-12T08:55:10+08:00 ] /jiasp2/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001311s ]
[ 2013-04-12T08:55:10+08:00 ] /jiasp2/ | INFO: Tag[ view_template ] --START--
[ 2013-04-12T08:55:10+08:00 ] /jiasp2/ | INFO: Run LocationTemplate Behavior [ RunTime:0.001284s ]
[ 2013-04-12T08:55:10+08:00 ] /jiasp2/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.001419s ]
[ 2013-04-12T08:55:10+08:00 ] /jiasp2/ | INFO: Tag[ view_parse ] --START--
[ 2013-04-12T08:55:10+08:00 ] /jiasp2/ | INFO: Run ParseTemplate Behavior [ RunTime:0.011466s ]
[ 2013-04-12T08:55:10+08:00 ] /jiasp2/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.011601s ]
[ 2013-04-12T08:55:10+08:00 ] /jiasp2/ | INFO: Tag[ view_filter ] --START--
[ 2013-04-12T08:55:10+08:00 ] /jiasp2/ | INFO: Run ContentReplace Behavior [ RunTime:0.000449s ]
[ 2013-04-12T08:55:10+08:00 ] /jiasp2/ | INFO: Run TokenBuild Behavior [ RunTime:0.000500s ]
[ 2013-04-12T08:55:10+08:00 ] /jiasp2/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000311s ]
[ 2013-04-12T08:55:10+08:00 ] /jiasp2/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000518s ]
[ 2013-04-12T08:55:10+08:00 ] /jiasp2/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001965s ]
[ 2013-04-12T08:55:10+08:00 ] /jiasp2/ | INFO: Tag[ view_template ] --START--
[ 2013-04-12T08:55:10+08:00 ] /jiasp2/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000218s ]
[ 2013-04-12T08:55:10+08:00 ] /jiasp2/ | INFO: Tag[ view_template ] --END-- [ RunTime:-0.013817s ]
