[ 2013-04-23T13:17:38+08:00 ] /jiasp2/ | INFO: Tag[ app_begin ] --START--
[ 2013-04-23T13:17:38+08:00 ] /jiasp2/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001394s ]
[ 2013-04-23T13:17:38+08:00 ] /jiasp2/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001567s ]
[ 2013-04-23T13:17:38+08:00 ] /jiasp2/ | INFO: Tag[ view_template ] --START--
[ 2013-04-23T13:17:38+08:00 ] /jiasp2/ | INFO: Run LocationTemplate Behavior [ RunTime:0.032671s ]
[ 2013-04-23T13:17:38+08:00 ] /jiasp2/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.032787s ]
[ 2013-04-23T13:17:38+08:00 ] /jiasp2/ | INFO: Tag[ view_parse ] --START--
[ 2013-04-23T13:17:38+08:00 ] /jiasp2/ | INFO: Run ParseTemplate Behavior [ RunTime:0.029955s ]
[ 2013-04-23T13:17:38+08:00 ] /jiasp2/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.030084s ]
[ 2013-04-23T13:17:38+08:00 ] /jiasp2/ | INFO: Tag[ view_filter ] --START--
[ 2013-04-23T13:17:38+08:00 ] /jiasp2/ | INFO: Run ContentReplace Behavior [ RunTime:0.001231s ]
[ 2013-04-23T13:17:38+08:00 ] /jiasp2/ | INFO: Run TokenBuild Behavior [ RunTime:0.003966s ]
[ 2013-04-23T13:17:38+08:00 ] /jiasp2/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001171s ]
[ 2013-04-23T13:17:38+08:00 ] /jiasp2/ | INFO: Run ShowRuntime Behavior [ RunTime:0.001326s ]
[ 2013-04-23T13:17:38+08:00 ] /jiasp2/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.008150s ]
[ 2013-04-23T13:17:38+08:00 ] /jiasp2/ | INFO: Tag[ view_template ] --START--
[ 2013-04-23T13:17:38+08:00 ] /jiasp2/ | INFO: Run LocationTemplate Behavior [ RunTime:0.007059s ]
[ 2013-04-23T13:17:38+08:00 ] /jiasp2/ | INFO: Tag[ view_template ] --END-- [ RunTime:-0.038546s ]
[ 2013-04-23T13:17:38+08:00 ] /jiasp2/ | INFO: Tag[ view_parse ] --START--
[ 2013-04-23T13:17:38+08:00 ] /jiasp2/ | INFO: Run ParseTemplate Behavior [ RunTime:0.017334s ]
[ 2013-04-23T13:17:38+08:00 ] /jiasp2/ | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.015828s ]
[ 2013-04-23T13:17:38+08:00 ] /jiasp2/ | INFO: Tag[ view_filter ] --START--
[ 2013-04-23T13:17:38+08:00 ] /jiasp2/ | INFO: Run ContentReplace Behavior [ RunTime:0.000362s ]
[ 2013-04-23T13:17:38+08:00 ] /jiasp2/ | INFO: Run TokenBuild Behavior [ RunTime:0.000169s ]
[ 2013-04-23T13:17:38+08:00 ] /jiasp2/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000031s ]
[ 2013-04-23T13:17:38+08:00 ] /jiasp2/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000222s ]
[ 2013-04-23T13:17:38+08:00 ] /jiasp2/ | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.025164s ]
[ 2013-04-23T13:17:38+08:00 ] /jiasp2/ | INFO: Tag[ view_template ] --START--
[ 2013-04-23T13:17:38+08:00 ] /jiasp2/ | INFO: Run LocationTemplate Behavior [ RunTime:0.004962s ]
[ 2013-04-23T13:17:38+08:00 ] /jiasp2/ | INFO: Tag[ view_template ] --END-- [ RunTime:-0.064848s ]
[ 2013-04-23T13:17:38+08:00 ] /jiasp2/ | INFO: Tag[ view_parse ] --START--
[ 2013-04-23T13:17:38+08:00 ] /jiasp2/ | NOTIC: [8] Undefined variable: user_name e5b19ddd3d471b21bbda02c5e4185b4b.php 第 78 行.
[ 2013-04-23T13:17:38+08:00 ] /jiasp2/ | INFO: Run ParseTemplate Behavior [ RunTime:0.014348s ]
[ 2013-04-23T13:17:38+08:00 ] /jiasp2/ | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.039883s ]
[ 2013-04-23T13:17:38+08:00 ] /jiasp2/ | INFO: Tag[ view_filter ] --START--
[ 2013-04-23T13:17:38+08:00 ] /jiasp2/ | INFO: Run ContentReplace Behavior [ RunTime:0.000386s ]
[ 2013-04-23T13:17:38+08:00 ] /jiasp2/ | INFO: Run TokenBuild Behavior [ RunTime:0.000348s ]
[ 2013-04-23T13:17:38+08:00 ] /jiasp2/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000032s ]
[ 2013-04-23T13:17:38+08:00 ] /jiasp2/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000255s ]
[ 2013-04-23T13:17:38+08:00 ] /jiasp2/ | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.046210s ]
[ 2013-04-23T13:17:38+08:00 ] /jiasp2/ | INFO: Tag[ view_end ] --START--
[ 2013-04-23T13:17:38+08:00 ] /jiasp2/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.002859s ]
[ 2013-04-23T13:17:38+08:00 ] /jiasp2/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.002987s ]
[ 2013-04-23T13:17:39+08:00 ] /jiasp2/Public/pic/visitor_textBg.png | ERR: (ThinkException) 无法加载模块Public
[ 2013-04-23T13:17:47+08:00 ] /jiasp2/Expert | INFO: Tag[ route_check ] --START--
[ 2013-04-23T13:17:47+08:00 ] /jiasp2/Expert | INFO: Run CheckRoute Behavior [ RunTime:0.000947s ]
[ 2013-04-23T13:17:47+08:00 ] /jiasp2/Expert | INFO: Tag[ route_check ] --END-- [ RunTime:0.001206s ]
[ 2013-04-23T13:17:47+08:00 ] /jiasp2/Expert | INFO: Tag[ app_begin ] --START--
[ 2013-04-23T13:17:47+08:00 ] /jiasp2/Expert | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000575s ]
[ 2013-04-23T13:17:47+08:00 ] /jiasp2/Expert | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000649s ]
[ 2013-04-23T13:17:47+08:00 ] /jiasp2/Expert | INFO: Tag[ view_template ] --START--
[ 2013-04-23T13:17:47+08:00 ] /jiasp2/Expert | INFO: Run LocationTemplate Behavior [ RunTime:0.000895s ]
[ 2013-04-23T13:17:47+08:00 ] /jiasp2/Expert | INFO: Tag[ view_template ] --END-- [ RunTime:0.000974s ]
[ 2013-04-23T13:17:47+08:00 ] /jiasp2/Expert | INFO: Tag[ view_parse ] --START--
[ 2013-04-23T13:17:47+08:00 ] /jiasp2/Expert | INFO: Run ParseTemplate Behavior [ RunTime:0.010275s ]
[ 2013-04-23T13:17:47+08:00 ] /jiasp2/Expert | INFO: Tag[ view_parse ] --END-- [ RunTime:0.010366s ]
[ 2013-04-23T13:17:47+08:00 ] /jiasp2/Expert | INFO: Tag[ view_filter ] --START--
[ 2013-04-23T13:17:47+08:00 ] /jiasp2/Expert | INFO: Run ContentReplace Behavior [ RunTime:0.000585s ]
[ 2013-04-23T13:17:47+08:00 ] /jiasp2/Expert | INFO: Run TokenBuild Behavior [ RunTime:0.000654s ]
[ 2013-04-23T13:17:47+08:00 ] /jiasp2/Expert | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000412s ]
[ 2013-04-23T13:17:47+08:00 ] /jiasp2/Expert | INFO: Run ShowRuntime Behavior [ RunTime:0.000624s ]
[ 2013-04-23T13:17:47+08:00 ] /jiasp2/Expert | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002510s ]
[ 2013-04-23T13:17:47+08:00 ] /jiasp2/Expert | INFO: Tag[ view_template ] --START--
[ 2013-04-23T13:17:47+08:00 ] /jiasp2/Expert | INFO: Run LocationTemplate Behavior [ RunTime:0.000405s ]
[ 2013-04-23T13:17:47+08:00 ] /jiasp2/Expert | INFO: Tag[ view_template ] --END-- [ RunTime:-0.013090s ]
[ 2013-04-23T13:17:47+08:00 ] /jiasp2/Expert | INFO: Tag[ view_parse ] --START--
[ 2013-04-23T13:17:47+08:00 ] /jiasp2/Expert | INFO: Run ParseTemplate Behavior [ RunTime:0.002392s ]
[ 2013-04-23T13:17:47+08:00 ] /jiasp2/Expert | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.003196s ]
[ 2013-04-23T13:17:47+08:00 ] /jiasp2/Expert | INFO: Tag[ view_filter ] --START--
[ 2013-04-23T13:17:47+08:00 ] /jiasp2/Expert | INFO: Run ContentReplace Behavior [ RunTime:0.000145s ]
[ 2013-04-23T13:17:47+08:00 ] /jiasp2/Expert | INFO: Run TokenBuild Behavior [ RunTime:0.000100s ]
[ 2013-04-23T13:17:47+08:00 ] /jiasp2/Expert | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000019s ]
[ 2013-04-23T13:17:47+08:00 ] /jiasp2/Expert | INFO: Run ShowRuntime Behavior [ RunTime:0.000133s ]
[ 2013-04-23T13:17:47+08:00 ] /jiasp2/Expert | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.003211s ]
[ 2013-04-23T13:17:47+08:00 ] /jiasp2/Expert | INFO: Tag[ view_template ] --START--
[ 2013-04-23T13:17:47+08:00 ] /jiasp2/Expert | INFO: Run LocationTemplate Behavior [ RunTime:0.014300s ]
[ 2013-04-23T13:17:47+08:00 ] /jiasp2/Expert | INFO: Tag[ view_template ] --END-- [ RunTime:-0.016907s ]
[ 2013-04-23T13:17:47+08:00 ] /jiasp2/Expert | INFO: Tag[ view_parse ] --START--
[ 2013-04-23T13:17:47+08:00 ] /jiasp2/Expert | INFO: Run ParseTemplate Behavior [ RunTime:0.011052s ]
[ 2013-04-23T13:17:47+08:00 ] /jiasp2/Expert | INFO: Tag[ view_parse ] --END-- [ RunTime:-0.021332s ]
[ 2013-04-23T13:17:47+08:00 ] /jiasp2/Expert | INFO: Tag[ view_filter ] --START--
[ 2013-04-23T13:17:47+08:00 ] /jiasp2/Expert | INFO: Run ContentReplace Behavior [ RunTime:0.000250s ]
[ 2013-04-23T13:17:47+08:00 ] /jiasp2/Expert | INFO: Run TokenBuild Behavior [ RunTime:0.000218s ]
[ 2013-04-23T13:17:47+08:00 ] /jiasp2/Expert | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000020s ]
[ 2013-04-23T13:17:47+08:00 ] /jiasp2/Expert | INFO: Run ShowRuntime Behavior [ RunTime:0.000156s ]
[ 2013-04-23T13:17:47+08:00 ] /jiasp2/Expert | INFO: Tag[ view_filter ] --END-- [ RunTime:-0.029981s ]
[ 2013-04-23T13:17:47+08:00 ] /jiasp2/Expert | INFO: Tag[ view_end ] --START--
[ 2013-04-23T13:17:47+08:00 ] /jiasp2/Expert | INFO: Run ShowPageTrace Behavior [ RunTime:0.003783s ]
[ 2013-04-23T13:17:47+08:00 ] /jiasp2/Expert | INFO: Tag[ view_end ] --END-- [ RunTime:0.003919s ]
[ 2013-04-23T13:18:40+08:00 ] /jiasp2/Space/index | INFO: Tag[ route_check ] --START--
[ 2013-04-23T13:18:40+08:00 ] /jiasp2/Space/index | INFO: Run CheckRoute Behavior [ RunTime:0.001077s ]
[ 2013-04-23T13:18:40+08:00 ] /jiasp2/Space/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.001181s ]
[ 2013-04-23T13:18:40+08:00 ] /jiasp2/Space/index | INFO: Tag[ app_begin ] --START--
[ 2013-04-23T13:18:40+08:00 ] /jiasp2/Space/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000708s ]
[ 2013-04-23T13:18:40+08:00 ] /jiasp2/Space/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000780s ]
[ 2013-04-23T13:18:40+08:00 ] /jiasp2/Space/index | SQL: SHOW COLUMNS FROM `jiasp_pics` [ RunTime:0.001778s ]
[ 2013-04-23T13:18:40+08:00 ] /jiasp2/Space/index | SQL: SELECT COUNT(*) AS tp_count FROM `jiasp_pics` LIMIT 1   [ RunTime:0.000363s ]
[ 2013-04-23T13:18:40+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_template ] --START--
[ 2013-04-23T13:18:40+08:00 ] /jiasp2/Space/index | INFO: Run LocationTemplate Behavior [ RunTime:0.001108s ]
[ 2013-04-23T13:18:40+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001185s ]
[ 2013-04-23T13:18:40+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_parse ] --START--
[ 2013-04-23T13:18:40+08:00 ] /jiasp2/Space/index | INFO: Run ParseTemplate Behavior [ RunTime:0.008843s ]
[ 2013-04-23T13:18:40+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.008928s ]
[ 2013-04-23T13:18:40+08:00 ] /jiasp2/Space/index | INFO: Tag[ view_filter ] --START--
[ 2013-04-23T13:18:40+08:00 ] /jiasp2/Space/index | INFO: Run ContentReplace Behavior [ RunTime:0.000546s ]
[ 2013-04-23T13:18:40+08:00 ] /jiasp2/Space/index | INFO: Run TokenBuild Behavior [ RunTime:0.000604s ]
[ 2013-04-23T13:18:40+08:00 ] /jiasp2/Space/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000379s ]
